"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"FUS"	"ANXA1"	"EPAS1"	"FUS"	0.619617704495513	"CEBPD"	"BCAR3"	"RHOB"	"WTAP"	"IKZF1"	"FAM53B"	"CAD"	"PPM1F"	"APMAP"	"FNDC3B"	"NCOA6"	"EMP1"	"CEBPD"	"CMTM6"	"BANK1"	NA	NA	NA	NA	NA	NA	NA	NA	"BLK"
"BLK"	"BCLAF1"	"SUZ12"	"BLK"	0.608575054357181	"BCAR3"	"CD22"	"TRIM37"	"CCND3"	"FLT3"	"TXNRD1"	"ZNF24"	"CAD"	"SAMHD1"	"SPARC"	"NDUFB6"	"BACH2"	"GPR18"	"BLNK"	"PAK2"	NA	NA	NA	NA	NA	NA	NA	NA	"ANXA1"
"SUZ12"	"PLCG2"	"C11orf21"	"SUZ12"	0.609007549672068	"FAM3C"	"ATP5PD"	"ZNF24"	"PTPRC"	"TCL1A"	"LPAR6"	"ZNF160"	"ADGRG3"	"BCLAF1"	"CST3"	"MPO"	"ATP5PD"	"DOCK2"	"RNF187"	"LAPTM4B"	NA	NA	NA	NA	NA	NA	NA	NA	"TUBA1B"
"MYB"	"NDUFS4"	"CD74"	"MYB"	0.599879050076772	"BLK"	"SF3B2"	"TXNDC9"	"SEC62"	"CCND3"	"RPS15"	"HPF1"	"RUFY2"	"PADI2"	"ARHGAP25"	"ANXA1"	"BEX1"	"NDUFB6"	"CHI3L1"	"STX8"	NA	NA	NA	NA	NA	NA	NA	NA	"HBB"
"CCND3"	"ACTN1"	"TMED5"	"CCND3"	0.576821558176682	"BACH2"	"ASAH1"	"HSD17B12"	"CSNK1A1"	"BCLAF1"	"VIM"	"PTPN18"	"KAT6A"	"RTN4"	"EAF2"	"BACH2"	"ITGB2"	"ADAM28"	"LPAR6"	"FCER1G"	NA	NA	NA	NA	NA	NA	NA	NA	"SRGN"
"CD74"	"BACH2"	"MYB"	"CD74"	0.540933345881833	"JUP"	"CYB5R3"	"CCSER2"	"ABI1"	"CSNK1A1"	"RAC1"	"TPSAB1"	"ZMYND11"	"RNF187"	"EPAS1"	"BANK1"	"NRIP1"	"C11orf21"	"C11orf58"	"SAMHD1"	NA	NA	NA	NA	NA	NA	NA	NA	"RPS9"
"TCL1A"	"HNRNPC"	"DAB2"	"TCL1A"	0.5310984375	"MS4A3"	"N4BP2L2"	"RUFY2"	"RNF144A"	"TMED5"	"PTGS2"	"CAST"	"EEF1A1"	"BLK"	"HLA.DQA1"	"ASAH1"	"C11orf21"	"RHOB"	"CARS2"	"RAP1A"	NA	NA	NA	NA	NA	NA	NA	NA	"RAC1"
"DAB2"	"ATXN1"	"FUS"	"DAB2"	0.536722058823529	"TCF4"	"PNN"	"ZMYND11"	"BANK1"	"PTPRC"	"MRPS27"	"PPBP"	"RPS15"	"SF1"	"CXCL8"	"ALG5"	"P2RY10"	"ATP5F1A"	"P2RY14"	"ATXN1"	NA	NA	NA	NA	NA	NA	NA	NA	"TRIM37"
"PLCG2"	"DIP2A"	"PLCG2"	"PLCG2"	0.518414570219734	"TBC1D9"	"COL5A1"	"FAM53B"	"PLCG2"	"RHEB"	"ISG20"	"ANXA1"	"UBA1"	"HOPX"	"DNTT"	"GIMAP4"	"TMEM267"	"GNA15"	"RSU1"	"S100A8"	NA	NA	NA	NA	NA	NA	NA	NA	"C11orf58"
"BCLAF1"	"ARHGDIB"	"TCL1A"	"BCLAF1"	0.509270034284743	"CD19"	"DIP2A"	"SUPT6H"	"RAC1"	"NKTR"	"RNF130"	"TOR1AIP1"	"CD72"	"CCN2"	"C11orf58"	"PIAS2"	"C12orf49"	"TPSAB1"	"TGFBI"	"AHNAK"	NA	NA	NA	NA	NA	NA	NA	NA	"ADAM28"
"CLK4"	"SMAD7"	"BCLAF1"	"CLK4"	0.5065	"MYB"	"PLCG2"	"DOCK2"	"TXNRD1"	"PSIP1"	"SRGN"	"COL5A1"	"TSPAN3"	"ZBTB10"	"PMPCB"	"MTREX"	"SP140L"	"RPS15"	"PTPRC"	"ATF3"	NA	NA	NA	NA	NA	NA	NA	NA	"EEF1A1"
"ABI1"	"CD19"	"NUMA1"	"ABI1"	0.502964814814815	"SF3B2"	"ATF3"	"DNAJA4"	"FLT3"	"CD74"	"CD79A"	"HSD17B4"	"RNF130"	"WIPI2"	"CYB5R3"	"AHNAK"	"TCF4"	"SLC11A1"	"CALCOCO2"	"SUPT6H"	NA	NA	NA	NA	NA	NA	NA	NA	"NDUFS4"
"TMED5"	"PRKCB"	"BLK"	"TMED5"	0.502272727272727	"CXCL8"	"CD19"	"DENND4A"	"RHEB"	"EPAS1"	"SF3B2"	"TSPAN3"	"PHLDA1"	"SCML1"	"P2RY10"	"ALDH5A1"	"CALCOCO2"	"RNF130"	"ATF3"	"RPS9"	NA	NA	NA	NA	NA	NA	NA	NA	"RPS15"
"RAC1"	"RTN4"	"ABI1"	"RAC1"	0.499076086956522	"TCL1A"	"ZNF160"	"PADI2"	"CD79A"	"SUZ12"	"ACAT1"	"SNRPB2"	"PYGL"	"PTX3"	"LPAR6"	"BLK"	"JUP"	"ATXN1"	"MRPS27"	"RHEB"	NA	NA	NA	NA	NA	NA	NA	NA	"SEC62"
"PSIP1"	"BLK"	"POU2AF1"	"PSIP1"	0.497881122055304	"PLCG2"	"P2RY10"	"ATF3"	"KAT6A"	"C11orf21"	"ZNF493"	"TNPO1"	"BTBD3"	"TCL1A"	"PTPN18"	"HPF1"	"TGFBI"	"TGFBI"	"METTL17"	"VPS35"	NA	NA	NA	NA	NA	NA	NA	NA	"NMT2"
"PRKCB"	"ADAM28"	"NKTR"	"PRKCB"	0.498669294439373	"TRIM37"	"SMAD7"	"THADA"	"EPAS1"	"PRKCB"	"WIPI2"	"ETS2"	"FBXO9"	"ZNF468"	"FGD2"	"SAMHD1"	"C11orf58"	"NMT2"	"HEATR1"	"ETS2"	NA	NA	NA	NA	NA	NA	NA	NA	"WIPI2"
"TXNRD1"	"TRIM37"	"RAC1"	"TXNRD1"	0.495192307692308	"KCTD3"	"PYGL"	"DYNLRB1"	"SUZ12"	"PABPC1"	"LYZ"	"HOPX"	"BACH2"	"LITAF"	"CARS2"	"ATXN1"	"SF3B2"	"ARHGDIB"	"DIAPH1"	"CSNK1A1"	NA	NA	NA	NA	NA	NA	NA	NA	"CSRP2"
"WTAP"	"TBC1D4"	"PRKCB"	"WTAP"	0.488584699213548	"N4BP2L2"	"RNASET2"	"CYB5R3"	"CDC25A"	"CLK4"	"CHD9"	"NKTR"	"HEATR1"	"SEC62"	"SEPTIN7"	"FNDC3B"	"TBC1D4"	"ATP8B4"	"COL5A1"	"BTRC"	NA	NA	NA	NA	NA	NA	NA	NA	"SF1"
"POU2AF1"	"P4HB"	"PSIP1"	"POU2AF1"	0.480861838624339	"MKNK1"	"ARMCX1"	"NUMA1"	"PRKCB"	"FGD2"	"TATDN2"	"TARDBP"	"TMED5"	"DENND4A"	"P4HB"	"SF1"	"CPA3"	"MKNK1"	"BEX1"	"PSIP1"	NA	NA	NA	NA	NA	NA	NA	NA	"BCLAF1"
"NUMA1"	"RHEB"	"WTAP"	"NUMA1"	0.474790052063566	"PNN"	"NKTR"	"SRGN"	"CXCL8"	"TSPAN3"	"TAB2"	"MTREX"	"BCLAF1"	"CNPY2"	"C12orf49"	"PPM1F"	"HOPX"	"RNASE2"	"PIAS2"	"TMED5"	NA	NA	NA	NA	NA	NA	NA	NA	"ROCK1"
