"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"BIRC3"	"BLK"	"TMED5"	"BIRC3"	0.607712083333333	"BEX1"	"ANXA1"	"ZMYND11"	"CD19"	"CCND3"	"ZMYND11"	"LGALS3"	"DENND4A"	"CTSG"	"LYZ"	"TFEC"	"CHD9"	"RRAS2"	"UBR4"	"FCGR2A"	NA	NA	NA	NA	NA	NA	NA	NA	"ROCK1"
"CCND3"	"PLCG2"	"BIRC3"	"CCND3"	0.606950594907601	"BLK"	"ZNF611"	"FAM53B"	"CCND3"	"FUS"	"PAWR"	"WTAP"	"AKR1C3"	"ACAT1"	"TAB2"	"ATXN1"	"CCR1"	"MS4A3"	"ANKRD36B"	"ATP5PO"	NA	NA	NA	NA	NA	NA	NA	NA	"PNN"
"TCL1A"	"BCLAF1"	"FUS"	"TCL1A"	0.559511111111111	"SPRY1"	"CALCOCO2"	"DOCK2"	"WTAP"	"TCL1A"	"WTAP"	"CALCOCO2"	"FCGR1B"	"SP140L"	"ATP8B4"	"PTGS2"	"SPART"	"CHI3L1"	"JUP"	"FRMD4B"	NA	NA	NA	NA	NA	NA	NA	NA	"GSN"
"PLCG2"	"ANXA1"	"PLCG2"	"PLCG2"	0.559196365785069	"ROR1"	"CD19"	"DNAJA4"	"BANK1"	"CD74"	"BANK1"	"PNN"	"ROCK1"	"HBB"	"IST1"	"PRMT1"	"UBR4"	"TSC22D1"	"CXCL12"	"BACH2"	NA	NA	NA	NA	NA	NA	NA	NA	"TCEA1"
"CD74"	"TBC1D4"	"TCL1A"	"CD74"	0.541773304493451	"PNN"	"PLCG2"	"DENND4A"	"SEC62"	"IL7R"	"HBB"	"POLR2B"	"CD36"	"KCTD12"	"ANXA3"	"CLEC2D"	"APMAP"	"TCF4"	"USP25"	"SF1"	NA	NA	NA	NA	NA	NA	NA	NA	"HPRT1"
"TMED5"	"VPS13D"	"BCLAF1"	"TMED5"	0.52	"C3AR1"	"STOM"	"ATF3"	"RAC1"	"KAT6A"	"STOM"	"MKNK1"	"TAB2"	"VPS35"	"CPA3"	"FAM3C"	"FCER1G"	"RHOB"	"CD74"	"P2RY10"	NA	NA	NA	NA	NA	NA	NA	NA	"SRGN"
"TXNRD1"	"BACH2"	"NUMA1"	"TXNRD1"	0.515	"PLCG2"	"ROR1"	"DYNLRB1"	"KAT6A"	"PSIP1"	"APMAP"	"ARHGDIB"	"PLCG2"	"SPARC"	"GPR18"	"VCAN"	"CD74"	"FCER1G"	"RHOB"	"IL7R"	NA	NA	NA	NA	NA	NA	NA	NA	"USP25"
"BCLAF1"	"STOM"	"BLK"	"BCLAF1"	0.520045955450311	"CD19"	"BCLAF1"	"SUV39H2"	"TXNRD1"	"TMED5"	"FPR2"	"NBR1"	"SF1"	"ANXA1"	"SPARC"	"PTPRE"	"NFE2"	"UBR4"	"SERPINB2"	"PABPC1"	NA	NA	NA	NA	NA	NA	NA	NA	"CALCOCO2"
"ABI1"	"HNRNPC"	"ABI1"	"ABI1"	0.502964814814815	"CSTA"	"PYGL"	"NUMA1"	"ABI1"	"PABPC1"	"FGD2"	"PLCG2"	"ASPM"	"RFTN1"	"ZNF24"	"PAWR"	"EEF1A1"	"KCTD12"	"SP140L"	"FAM3C"	NA	NA	NA	NA	NA	NA	NA	NA	"P4HB"
"PSIP1"	"ATXN1"	"POU2AF1"	"PSIP1"	0.50250540492269	"KCTD12"	"PDE4D"	"SRGN"	"PLCG2"	"FGD2"	"RESF1"	"PLXNC1"	"RAP1A"	"TCEA1"	"MGAT4A"	"UBR2"	"PTGS2"	"FGD2"	"RNASE3"	"MMP8"	NA	NA	NA	NA	NA	NA	NA	NA	"TMED5"
"WTAP"	"SEPTIN7"	"NKTR"	"WTAP"	0.49935012478944	"AKR1C3"	"CLTA"	"LAPTM4B"	"BCLAF1"	"PTPRC"	"ABHD5"	"IL7R"	"VCAM1"	"MS4A6A"	"CD74"	"ATP5F1A"	"DOCK2"	"LPAR6"	"ZNF493"	"LPAR6"	NA	NA	NA	NA	NA	NA	NA	NA	"CMTM6"
"RAC1"	"C3AR1"	"RAC1"	"RAC1"	0.494983134920635	"JUP"	"P2RY10"	"TYMS"	"PTPRC"	"NKTR"	"PTGS2"	"TCEA1"	"SLC11A1"	"CPVL"	"CEBPD"	"CDA"	"CD14"	"SEPTIN7"	"S100A12"	"MCCC2"	NA	NA	NA	NA	NA	NA	NA	NA	"RPS15"
"POU2AF1"	"P4HB"	"PSIP1"	"POU2AF1"	0.495210942760943	"LRRC59"	"BEX3"	"PDE4D"	"CD79A"	"WTAP"	"CST3"	"TRIM37"	"CNPY2"	"CD14"	"ABI1"	"PTX3"	"BEX1"	"DIAPH1"	"CALCOCO2"	"PTPRE"	NA	NA	NA	NA	NA	NA	NA	NA	"EEF1A1"
"NUMA1"	"ROR1"	"WTAP"	"NUMA1"	0.471662317860249	"CEBPD"	"DDX3X"	"MS4A3"	"IL7R"	"TSPAN3"	"IL18"	"ANXA3"	"PTPRC"	"FUS"	"TYMS"	"RPS9"	"CXCL12"	"BCL11B"	"CBFA2T3"	"S100A11"	NA	NA	NA	NA	NA	NA	NA	NA	"ATP5PO"
"TSPAN3"	"CCN2"	"TXNRD1"	"TSPAN3"	0.459965277777778	"GNA15"	"LYZ"	"FCER1G"	"DOCK2"	"ABI1"	"MPO"	"DDX3Y"	"RHOB"	"DOCK2"	"RAC1"	"CD74"	"TBC1D4"	"GIMAP4"	"SF1"	"CYP4F3"	NA	NA	NA	NA	NA	NA	NA	NA	"SEC62"
"NKTR"	"FGD2"	"SLC4A1"	"NKTR"	0.449124192626404	"TCF4"	"ATF3"	"PSIP1"	"CXCL8"	"CD79A"	"CXCL8"	"RALGPS2"	"CMTM6"	"ANXA3"	"EEF1A1"	"ANXA2"	"CLTA"	"VIM"	"RPS9"	"CPA3"	NA	NA	NA	NA	NA	NA	NA	NA	"ABI1"
"SLC4A1"	"UBA1"	"TSPAN3"	"SLC4A1"	0.41199375	"TYMS"	"COL5A1"	"ACAT1"	"TSPAN3"	"DOCK2"	"PABPC1"	"CYP4F3"	"CD19"	"RPS15"	"PSMD6"	"DYNLRB1"	"P2RY10"	"AKR1C3"	"IL18"	"CCN2"	NA	NA	NA	NA	NA	NA	NA	NA	"HBB"
"DOCK2"	"SOCS2"	"HIPK1"	"DOCK2"	0.386839254778455	"MACROH2A1"	"VPS13D"	"PTGS2"	"TMED5"	"TXNRD1"	"ITGB2"	"ANKRD36B"	"MPO"	"CD72"	"FCN1"	"UBR4"	"RHOB"	"CLTA"	"TSC22D1"	"PLXNC1"	NA	NA	NA	NA	NA	NA	NA	NA	"FUS"
"CD79A"	"GIMAP4"	"FGD2"	"CD79A"	0.363492014050858	"CXCL8"	"RALGPS2"	"ARHGAP25"	"LRRC59"	"SEC62"	"HIPK1"	"CD14"	"SP140L"	"DDX3Y"	"SOCS2"	"LAPTM4B"	"LUC7L"	"HPRT1"	"CD19"	"CST3"	NA	NA	NA	NA	NA	NA	NA	NA	"ARHGDIB"
"SP140L"	"ZMYND11"	"RAP1A"	"SP140L"	0.358402777777778	"FGD2"	"CD79A"	"SLC11A1"	"CD74"	"ROR1"	"CCN2"	"USP25"	"NKTR"	"FRMD4B"	"BACH2"	"CPVL"	"GNG11"	"RNASE2"	"PTPN18"	"MACROH2A1"	NA	NA	NA	NA	NA	NA	NA	NA	"RAC1"
