"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"CD74"	"CD19"	"FUS"	"CD74"	0.554372683667717	"TBC1D9"	"ARMCX1"	"FAM53B"	"WTAP"	"RHEB"	"ST3GAL1"	"C11orf58"	"ARHGDIB"	"ANXA1"	"ZNF24"	"COQ10B"	"RPS24"	"WTAP"	"HSD17B4"	"OLR1"	NA	NA	NA	NA	NA	NA	NA	NA	"SOCS2"
"SYK"	"PLCG2"	"PLCG2"	"SYK"	0.536555298060407	"SMIM14"	"TMEM267"	"DOCK2"	"BANK1"	"CIITA"	"FAR2"	"EMP1"	"TBC1D4"	"KCTD3"	"GNG11"	"CHI3L1"	"VIM"	"PAM"	"PDGFC"	"FNDC3B"	NA	NA	NA	NA	NA	NA	NA	NA	"CSRP2"
"CIITA"	"ATXN1"	"TCL1A"	"CIITA"	0.527213537145544	"NFIL3"	"ANXA1"	"DNAJA4"	"SEC62"	"TMED5"	"PSMD6"	"TCEA1"	"S100A8"	"CD22"	"PTPN18"	"HBB"	"LRRC59"	"LYZ"	"POU2AF1"	"ROCK1"	NA	NA	NA	NA	NA	NA	NA	NA	"BLK"
"BCLAF1"	"MKNK1"	"BCLAF1"	"BCLAF1"	0.520045955450311	"SPRY1"	"DIP2A"	"DENND4A"	"CIITA"	"PSIP1"	"CBFA2T3"	"IL1B"	"FUS"	"WTAP"	"WWP2"	"DSN1"	"RNASE2"	"CD72"	"MS4A3"	"UBR4"	NA	NA	NA	NA	NA	NA	NA	NA	"ETS2"
"PLCG2"	"BACH2"	"BLK"	"PLCG2"	0.52135176325214	"BEX1"	"BACH2"	"ATF3"	"PRKCB"	"PRKCB"	"SYK"	"SH3BP5"	"WTAP"	"UBR4"	"SPRY1"	"BST1"	"SMIM14"	"ALDH5A1"	"MMP9"	"PXDN"	NA	NA	NA	NA	NA	NA	NA	NA	"TUBA1B"
"TXNRD1"	"ARHGDIB"	"ABI1"	"TXNRD1"	0.515	"BLK"	"WWP2"	"DYNLRB1"	"PTPRC"	"CD52"	"BEX3"	"CSRP2"	"SRGN"	"NFIL3"	"RNASE3"	"LYST"	"HBB"	"EEF1A1"	"CYP4F3"	"PAM"	NA	NA	NA	NA	NA	NA	NA	NA	"CXCL8"
"ABI1"	"ROR1"	"POU2AF1"	"ABI1"	0.507537222222222	"CFP"	"ATF3"	"CYB5R3"	"RHEB"	"SUZ12"	"TPP2"	"NFIL3"	"SLC4A1"	"LITAF"	"MS4A3"	"LEPROT"	"CBX3"	"GIMAP4"	"CD19"	"SPARC"	NA	NA	NA	NA	NA	NA	NA	NA	"P2RY10"
"PSIP1"	"ANXA1"	"RAC1"	"PSIP1"	0.504854247014061	"ANXA1"	"P2RY10"	"SRGN"	"PLCG2"	"FGD2"	"LYST"	"HLA.DQB1"	"TREM1"	"CIITA"	"BBS10"	"BEX3"	"FBXO9"	"CD79A"	"SORL1"	"PLAUR"	NA	NA	NA	NA	NA	NA	NA	NA	"TMEM267"
"TMED5"	"PRKCB"	"SYK"	"TMED5"	0.502272727272727	"PLCG2"	"CD79A"	"LAPTM4B"	"KAT6A"	"PABPC1"	"ZNF573"	"TAB2"	"CLEC2B"	"PLAUR"	"CD79A"	"CD79A"	"QPCT"	"RNASET2"	"FLT3"	"CD79A"	NA	NA	NA	NA	NA	NA	NA	NA	"ZNF573"
"RAC1"	"COL5A1"	"PRKCB"	"RAC1"	0.504621376811594	"BCAR3"	"P4HB"	"TYMS"	"CXCL8"	"PTPRC"	"RHEB"	"BEX1"	"HLA.DQB1"	"ATP8B4"	"LAPTM4B"	"RHEB"	"CPA3"	"SMCHD1"	"SH3BP5"	"ZNF493"	NA	NA	NA	NA	NA	NA	NA	NA	"MACROH2A1"
"PRKCB"	"BCLAF1"	"PSIP1"	"PRKCB"	0.499306308115769	"ATP8B1"	"SEC62"	"CMAHP"	"ABI1"	"CEBPA"	"TIMP1"	"COL5A1"	"COQ10B"	"TCEA1"	"ALDH7A1"	"BANK1"	"UBR4"	"BLK"	"ATXN1"	"BBS10"	NA	NA	NA	NA	NA	NA	NA	NA	"FGD2"
"WTAP"	"CFP"	"WTAP"	"WTAP"	0.491897137852284	"PNN"	"SOCS2"	"MS4A3"	"SYK"	"ATP8B1"	"PTPN18"	"PLCG2"	"ATF3"	"PAWR"	"CYP4F3"	"SORL1"	"TPSB2"	"DLEU2"	"PRMT1"	"ARHGDIB"	NA	NA	NA	NA	NA	NA	NA	NA	"ARMCX1"
"POU2AF1"	"GIMAP4"	"TXNRD1"	"POU2AF1"	0.484250178062678	"BST1"	"PLCG2"	"FCER1G"	"TXNRD1"	"TOP2A"	"SCML1"	"CYP4F3"	"SOCS2"	"LGMN"	"PTPRC"	"SOCS2"	"ACAT1"	"FNDC3B"	"PAM"	"ACAT1"	NA	NA	NA	NA	NA	NA	NA	NA	"RHEB"
"LMO2"	"P4HB"	"SLC4A1"	"LMO2"	0.480473502145983	"MYB"	"CD22"	"MPHOSPH6"	"CD79A"	"WTAP"	"MPO"	"DNAJA4"	"QPCT"	"CHI3L1"	"TYMS"	"PSMD6"	"CD19"	"ZNF493"	"ZNF493"	"FOS"	NA	NA	NA	NA	NA	NA	NA	NA	"LYZ"
"TSPAN3"	"WWP2"	"TSPAN3"	"TSPAN3"	0.448845238095238	"CD22"	"PNN"	"PSIP1"	"RAC1"	"CD79A"	"SPRY1"	"TARDBP"	"PRKCB"	"FCER1G"	"ACAT1"	"ATP8B1"	"PTPN18"	"ZNF24"	"PTGS2"	"ATP5PO"	NA	NA	NA	NA	NA	NA	NA	NA	"PAWR"
"CEBPA"	"CXCL8"	"LGMN"	"CEBPA"	0.440840127727568	"CSTA"	"RAB32"	"ACAT1"	"SUZ12"	"TSPAN3"	"DLEU2"	"DSN1"	"IL1B"	"ARMCX1"	"FCER1G"	"WWP2"	"ADAM28"	"CLEC2B"	"CSRP2"	"S100A12"	NA	NA	NA	NA	NA	NA	NA	NA	"C11orf58"
