"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"FUS"	"P2RY10"	"KAT6A"	"FUS"	0.619617704495513	"RALGPS2"	"FBXO9"	"HSD17B12"	"KAT6A"	"POU2AF1"	"ABI1"	"TIA1"	"ATP5F1A"	"KAT6A"	"BIRC3"	"CBFA2T3"	"SF1"	"HPRT1"	"TOR1AIP1"	"BLNK"	NA	NA	NA	NA	NA	NA	NA	NA	"DYNLRB1"
"BTG1"	"RALGPS2"	"CD22"	"BTG1"	0.617028941535243	"FGD2"	"PLCG2"	"CCSER2"	"TXNRD1"	"CBFA2T3"	"MCCC2"	"LITAF"	"ZNF493"	"MME"	"CYP4F3"	"CPA3"	"TMED5"	"ELOVL5"	"CEBPD"	"SEC62"	NA	NA	NA	NA	NA	NA	NA	NA	"LRRC59"
"STRAP"	"ZNF160"	"PTPRC"	"STRAP"	0.616172	"CDA"	"ZNF91"	"ZMYND11"	"SF3B2"	"FLT3"	"PTGS2"	"VPS35"	"CEACAM8"	"CLC"	"CEACAM8"	"MGAT4A"	"CD19"	"P2RY10"	"TIA1"	"FCER1G"	NA	NA	NA	NA	NA	NA	NA	NA	"ALG5"
"BLK"	"POU2AF1"	"SUZ12"	"BLK"	0.610435192067901	"POU2AF1"	"DDX3X"	"FAM53B"	"SUZ12"	"FUS"	"MKNK1"	"RFTN1"	"RAC1"	"FAM120A"	"SF1"	"GSN"	"FGD2"	"ZNF160"	"CLC"	"FBXO9"	NA	NA	NA	NA	NA	NA	NA	NA	"P2RY10"
"SF3B2"	"ANXA1"	"C11orf21"	"SF3B2"	0.618535714285714	"ZNF83"	"DDX42"	"ERAP2"	"FGD2"	"C11orf21"	"RESF1"	"AOAH"	"CXCL12"	"CCR1"	"LCN2"	"PNN"	"SAMHD1"	"MCCC2"	"MAF"	"MCCC2"	NA	NA	NA	NA	NA	NA	NA	NA	"HPRT1"
"CCND3"	"SP140L"	"CD74"	"CCND3"	0.616288296367718	"CXCL12"	"TCEA1"	"SUPT6H"	"BIRC3"	"CD74"	"RNASE3"	"TREM1"	"FCGR1B"	"TSPAN3"	"TOR1A"	"TPP2"	"HIPK1"	"PNN"	"STRN3"	"CYBB"	NA	NA	NA	NA	NA	NA	NA	NA	"CALCOCO2"
"BIRC3"	"CD22"	"TMED5"	"BIRC3"	0.608718229166667	"SOCS2"	"RPS9"	"DOCK2"	"RAC1"	"IL7R"	"ARG1"	"GSN"	"BLNK"	"MAF"	"MMP9"	"BCL11B"	"TCN1"	"HEXA"	"ARHGDIB"	"MACROH2A1"	NA	NA	NA	NA	NA	NA	NA	NA	"TMED5"
"DDX3X"	"CXCL12"	"BTG1"	"DDX3X"	0.620863970588235	"C3AR1"	"IST1"	"DNAJA4"	"CD79A"	"PTPRC"	"TCF4"	"VCAN"	"S100A11"	"HPRT1"	"CXCL12"	"SRGN"	"HBEGF"	"C3AR1"	"MAFB"	"PTPRC"	NA	NA	NA	NA	NA	NA	NA	NA	"DIAPH1"
"SUZ12"	"DDX3X"	"BIRC3"	"SUZ12"	0.588790382265947	"CXCL8"	"BLK"	"PADI2"	"FUS"	"SUZ12"	"SLC11A1"	"CCR1"	"ZNF160"	"UBXN4"	"SLC11A1"	"CD79A"	"FYB1"	"ARG1"	"MCCC2"	"ELOVL5"	NA	NA	NA	NA	NA	NA	NA	NA	"PABPC1"
"TCL1A"	"BLK"	"FUS"	"TCL1A"	0.560431359649123	"HBB"	"P2RY10"	"THADA"	"SMC1A"	"KAT6A"	"DDX3X"	"SLC4A1"	"C11orf21"	"TUBA1B"	"PABPC1"	"RPS9"	"TATDN2"	"GNA15"	"TBC1D4"	"MRPS27"	NA	NA	NA	NA	NA	NA	NA	NA	"ATP5PO"
"TMED5"	"C3AR1"	"PLCG2"	"TMED5"	0.5525	"PABPC1"	"HBB"	"DYNLRB1"	"CD19"	"BCL11B"	"BLK"	"TENT5A"	"TERF2"	"C11orf58"	"CARS2"	"NCOA6"	"ELOA"	"KIAA1109"	"CSRP2"	"COPA"	NA	NA	NA	NA	NA	NA	NA	NA	"CMTM6"
"PLCG2"	"LUC7L"	"TCL1A"	"PLCG2"	0.540023918958153	"IRAK1"	"STRAP"	"SUV39H2"	"TCL1A"	"BIRC3"	"CEACAM8"	"STRN3"	"PSMD6"	"ADGRG3"	"ITGB2"	"DYNLRB1"	"FLT3"	"DIAPH1"	"PTPRE"	"PGK1"	NA	NA	NA	NA	NA	NA	NA	NA	"DOCK2"
"DDX10"	"TMEM268"	"NUMA1"	"DDX10"	0.537407608914667	"PMPCB"	"LYZ"	"NUMA1"	"DOCK2"	"TSPAN3"	"RAC1"	"CEACAM8"	"USP25"	"PDGFC"	"C5AR1"	"DNAJA4"	"POLR2B"	"FAM120A"	"TFB2M"	"ANXA1"	NA	NA	NA	NA	NA	NA	NA	NA	"NCOA6"
"CD74"	"IST1"	"BLK"	"CD74"	0.537433050129071	"BEX3"	"HERPUD1"	"SRGN"	"FLT3"	"TMED5"	"TMED5"	"KRAS"	"LYZ"	"MS4A3"	"MCCC2"	"SLC11A1"	"TPSB2"	"LEPROT"	"PLCG2"	"CPVL"	NA	NA	NA	NA	NA	NA	NA	NA	"VIM"
"TXNRD1"	"P4HB"	"ABI1"	"TXNRD1"	0.515	"MS4A3"	"TSPAN3"	"LAPTM4B"	"ABI1"	"PABPC1"	"MGAM"	"FYB1"	"HNRNPC"	"MACROH2A1"	"OLR1"	"PAWR"	"TSPAN3"	"EEF1A1"	"LCN2"	"WIPI2"	NA	NA	NA	NA	NA	NA	NA	NA	"CNPY2"
"C11orf21"	"BIRC3"	"POU2AF1"	"C11orf21"	0.506180555555556	"ANXA1"	"CD19"	"UBE3C"	"TSPAN3"	"TCL1A"	"CD72"	"CCNC"	"FYB1"	"ATP8B4"	"IL1R1"	"TPSB2"	"TREM1"	"IST1"	"BCL11B"	"ABHD5"	NA	NA	NA	NA	NA	NA	NA	NA	"PMPCB"
"ABI1"	"PLCG2"	"STRAP"	"ABI1"	0.501206196581197	"LEF1"	"ARHGDIB"	"TOR1A"	"CBFA2T3"	"FGD2"	"HERPUD1"	"MPHOSPH6"	"EIF4G2"	"CD36"	"FCGR2A"	"MMP9"	"DYNLRB1"	"ALDH5A1"	"CTSG"	"SERPINA1"	NA	NA	NA	NA	NA	NA	NA	NA	"ATP5PD"
"RAC1"	"ZNF91"	"DDX10"	"RAC1"	0.486547839506173	"TMED5"	"STMN1"	"MLXIP"	"PTPRC"	"ABI1"	"UBE3C"	"TMED5"	"VPS35"	"OLR1"	"SEPTIN7"	"CCSER2"	"GNG11"	"WIPI1"	"CCSER2"	"UBXN4"	NA	NA	NA	NA	NA	NA	NA	NA	"USP25"
"POU2AF1"	"SF3B2"	"RAC1"	"POU2AF1"	0.487285565476191	"IL1R2"	"VIM"	"TIA1"	"CD74"	"SLC4A1"	"GSN"	"RNASE2"	"BLK"	"PTGS2"	"PAM"	"STRN3"	"UBR4"	"SF1"	"S100A12"	"CTSG"	NA	NA	NA	NA	NA	NA	NA	NA	"STX8"
"TSPAN3"	"BEX3"	"TXNRD1"	"TSPAN3"	0.459721264367816	"CCN2"	"CD22"	"MS4A3"	"KRAS"	"DOCK2"	"UBXN4"	"PRCP"	"SUZ12"	"MMP9"	"CCSER2"	"SOCS2"	"HBB"	"BACH2"	"APMAP"	"LRRC59"	NA	NA	NA	NA	NA	NA	NA	NA	"HSD17B12"
