"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"COL4A6"	"GP2"	"C3"	"SCNN1G"	0.925925925925926	"CLDN19"	"KNG1"	"EPN3"	"CLDN19"	"CASR"	"TSPAN8"	"KCNJ1"	"DOC2A"	"BRINP3"	"MT1G"	"SCNN1B"	"KCNJ10"	"FABP7"	"HAMP"	"CRHBP"	"MUC15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SCNN1G"	"IL20RB"	"SLC34A1"	"SCNN1B"	0.91	"DUSP9"	"DUSP9"	"PTGER3"	"NPHS2"	"CLDN16"	"AC068631.1"	"PIK3C2G"	"RASL11B"	"NOS1"	"DNAJC5B"	"AC148477.4"	"AL391845.2"	"SDS"	"SLC34A1"	"KCNJ10"	"PTGER1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HSD11B2"	"PTGER1"	"G6PC"	"SLC6A19"	0.894166666666667	"KCNJ10"	"KCNJ10"	"COL23A1"	"CLDN16"	"SLC12A3"	"GPC5"	"SMIM5"	"PAH"	"BSND"	"FABP7"	"SLC13A2"	"TDGF1"	"CALB1"	"SLC36A2"	"SLC36A2"	"EHF"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GABRD"	"MT1G"	"SCN7A"	"HSD11B2"	0.884615384615385	"KCNJ1"	"HRG"	"PTPRN"	"HRG"	"BSND"	"CPN2"	"PTPRQ"	"FER1L6"	"TDGF1"	"CASR"	"TMPRSS4"	"KISS1R"	"HPCAL4"	"AC068631.1"	"TMEM238L"	"SCNN1G"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CLDN16"	"ACPP"	"ALDOB"	"KCNJ10"	0.884453781512605	"DDN"	"RASL11B"	"SLC9A3"	"SCNN1B"	"COL4A6"	"ERVE.1"	"LINC01606"	"NPTX2"	"HMX2"	"MCCD1"	"LINC01896"	"AC025154.2"	"HAMP"	"LINC01230"	"MYEOV"	"RASL11B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DPEP1"	"CLDN19"	"LMX1B"	"CLCNKA"	0.879344394897154	"MUC15"	"IL20RB"	"SLC12A3"	"COL4A6"	"ATP6V1B1"	"PROZ"	"FREM1"	"MFSD4A"	"SERPINA4"	"MFSD6L"	"PRDM16"	"C5orf46"	"ALOX15B"	"GRHL2"	"CNTN1"	"NDUFA4L2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KCNJ1"	"TCF21"	"SLC5A2"	"COL4A6"	0.874255952380952	"KNG1"	"SFRP1"	"MYO3B"	"GABRA2"	"SCNN1B"	"ELF5"	"TMEM174"	"AL391845.2"	"IYD"	"AC087045.3"	"BMP7"	"IRX1"	"INSRR"	"FGF9"	"PIK3C2G"	"LINC00887"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC12A3"	"SIGLEC8"	"SLC6A3"	"SLC22A12"	0.866421568627451	"ACPP"	"PRR35"	"SLC12A1"	"CASR"	"SLC4A1"	"AC093904.4"	"FXYD4"	"LINC01055"	"GATA3.AS1"	"SLC30A2"	"LINC01187"	"KCNJ1"	"CALML3"	"CLDN16"	"GABRD"	"DMRT2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ERBB4"	"LINC01230"	"PRDM16"	"SLC5A2"	0.861111111111111	"AC114803.1"	"TREM2"	"ATP12A"	"CLCNKA"	"CLCNKB"	"KLK7"	"CDKN2A"	"LINP1"	"MUC15"	"SLC34A1"	"CDCA2"	"KLK1"	"SLC12A1"	"AC112243.1"	"EHF"	"FABP6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC22A12"	"MELK"	"CDKN2A"	"CALCA"	0.844736842105263	"APOC1"	"SIGLEC8"	"AFM"	"KNG1"	"FREM1"	"LINC01020"	"CTXN3"	"NDUFA4L2"	"CCL18"	"LINC00645"	"LINC01788"	"MYO3B"	"CLCNKA"	"LINC00887"	"IRX1"	"GRIK3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CLCNKA"	"KCNJ1"	"KCNJ1"	"C3"	0.817307692307692	"SCNN1G"	"APOC1"	"RDH8"	"BSND"	"GABRA2"	"HMGCS2"	"TTC21B.AS1"	"HS3ST2"	"RANBP3L"	"TTC21B.AS1"	"SDS"	"CDCA2"	"GABRA2"	"LINP1"	"TMEM174"	"FOXI1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EGF"	"AC073172.1"	"GABRA2"	"PLG"	0.812325387484508	"SIGLEC8"	"MUC15"	"GRHL2"	"PRR35"	"HSD11B2"	"ERBB4"	"SLC26A7"	"HPD"	"CLDN8"	"CD70"	"ADH1B"	"MFSD4A"	"CRABP1"	"SLC26A7"	"NLRP3P1"	"BSND"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC12A1"	"APOC1"	"PTGER1"	"LMX1B"	0.75974025974026	"SOST"	"ADAM18"	"AQP6"	"DUSP9"	"ITGAD"	"SLC4A9"	"PAPPA2"	"SIGLEC8"	"LINC01896"	"PVALB"	"AGXT"	"RASL11B"	"LINC00462"	"AP000696.1"	"ASB15"	"AC010655.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC5A2"	"AL391845.2"	"NPHS1"	"UMOD"	0.731884057971014	"CDKN2A"	"KCNJ1"	"F11"	"CLCNKB"	"NPHS2"	"CA9"	"FAM151A"	"EHF"	"LHX1"	"AC019117.3"	"FAM83B"	"HPCAL4"	"GAL3ST3"	"HPCAL4"	"ATP12A"	"LINC01606"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PRDM16"	"HRG"	"BSND"	"AQP2"	0.725198412698413	"NPHS2"	"TMEM207"	"CHGB"	"ITGAD"	"ERBB4"	"AGXT"	"CRHBP"	"CYP4F2"	"PLPPR5"	"ALDOB"	"IYD"	"AC011352.3"	"PNCK"	"SCNN1G"	"FAM245A"	"SALL3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PTGER1"	"RASL11B"	"CLDN19"	"BSND"	0.72	"TCF21"	"LINC02437"	"NOS1"	"EGF"	"CA9"	"RPS24P17"	"ADAM18"	"LINC00887"	"FRMD1"	"CHGB"	"PTPRN"	"GABRA2"	"SALL3"	"LINC00645"	"SCN7A"	"TTC21B.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BSND"	"CYP2B6"	"FREM1"	"SLC12A3"	0.723076923076923	"TMEM207"	"MFSD4A"	"TREM2"	"SIM2"	"CLCNKA"	"FAM151A"	"SERPINA4"	"GABRA2"	"LHX1.DT"	"LHX1.DT"	"MOGAT2"	"GAL3ST3"	"CHIT1"	"LINC01606"	"C7"	"ATP6V1G3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"L1CAM"	"AC068631.1"	"SCNN1G"	"ATP6V1B1"	0.675099496736133	"IL20RB"	"GP2"	"PVALB"	"SLC4A1"	"NPHS1"	"FXYD4"	"CWH43"	"PLG"	"AC025154.2"	"RAB25"	"GATA3.AS1"	"CYP2B6"	"PIK3C2G"	"LINC02783"	"TNFAIP6"	"LINC02048"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"UMOD"	"C5orf46"	"AQP2"	"NPHS1"	0.665178571428571	"TMEM238L"	"ITGAD"	"SERPINA4"	"CA9"	"CALCA"	"CYP4F2"	"DUSP9"	"SLC6A19"	"SLC5A2"	"FAM151A"	"CLDN19"	"NXPH2"	"HS3ST2"	"PRDM16.DT"	"STRA6"	"SLC6A3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CLCNKB"	"LHX1"	"SCNN1B"	"CLDN19"	0.661330049261084	"AC023154.1"	"LINC01077"	"CPNE6"	"ATP6V1B1"	"EGF"	"TYRP1"	"CHP2"	"GRHL2"	"DPEP1"	"RDH8"	"NELL1"	"MUC15"	"COL4A6"	"DNAJC5B"	"SLC12A3"	"AL049555.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
