"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"DLX1"	"LMX1B"	"EBF2"	"EBF2"	0.661406379648326	"CIDEC"	"DNAH5"	"CCN5"	"MNX1"	"EBF2"	"INSC"	"LINC02005"	"PITX2"	"RHOXF1P1"	"NTM"	"HOXC6"	"OR4K12P"	"SLC38A11"	"CYP4F3"	"INSM1"	"DNAH5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BMP5"	"CACNA1D"	"BMP5"	"DLX1"	0.657663888888889	"NKX2.3"	"AMACR"	"GAL"	"TDRD1"	"CYP11A1"	"AL031123.2"	"NIPAL4"	"MYH6"	"CIDEC"	"HSPA6"	"INSC"	"OR51A9P"	"AP006748.1"	"LINC01475"	"AP006748.1"	"AP000696.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PCSK6"	"DNAH5"	"DLX1"	"BMP5"	0.604463651753931	"CYP11A1"	"CYP11A1"	"EPHA8"	"ERG"	"ERG"	"AC009119.1"	"AC009119.1"	"DUOXA2"	"SMKR1"	"PCAT14"	"LMO3"	"MORC1"	"AP002498.1"	"SEMG1"	"COL10A1"	"PROSER2.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MMP10"	"IL21.AS1"	"DLX2"	"MMP10"	0.590582282051282	"AL031123.3"	"AC141930.1"	"SLC4A4"	"OTX1"	"MNX1"	"ZIC5"	"CCKBR"	"ACTA1"	"MORC1"	"CYP4F22"	"CGREF1"	"NIPAL4"	"ACSM1"	"C1QL1"	"OR51H2P"	"EMX2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MNX1"	"SERPINA5"	"OTX1"	"PCSK6"	0.539419022675737	"CLU"	"AL031123.2"	"CHGB"	"EBF2"	"TUBB4A"	"C1QL1"	"DLX1"	"LINC01169"	"LINC00839"	"NXPH1"	"TMEM178A"	"AC135803.1"	"SDK1"	"SYNGR4"	"SNCG"	"OR51E2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DNAH5"	"PCSK6"	"DNAH5"	"DLX2"	0.541173855862623	"PNMT"	"AC009119.1"	"PTGS1"	"KCNG3"	"AMACR"	"AL589743.1"	"AP000842.3"	"LINC02492"	"PCSK6"	"PON3"	"AMACR"	"SIM2"	"FAM163A"	"SFRP5"	"LINC00839"	"LMO3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLX2"	"KY"	"MMP10"	"MNX1"	0.507611778286376	"TDRD1"	"NETO2"	"TDRD1"	"SIM2"	"GRIN3A"	"CYP4F22"	"SBSPON"	"AC133785.1"	"AC139783.1"	"CYP4F62P"	"AC144450.1"	"FAM83C"	"PCSK6"	"AC009407.1"	"AL133325.3"	"DLX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SERPINA5"	"CCKBR"	"CHRNA4"	"DNAH5"	0.5	"HOXC6"	"AC008555.2"	"PLA2G3"	"CLU"	"OTX1"	"PATE1"	"WNT16"	"KCNG3"	"CCN6"	"NIPAL4"	"HSD17B13"	"C6"	"LY6D"	"AC008555.2"	"CLU"	"H19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"OTX1"	"DLX1"	"GATA5"	"ADAM21"	0.453703703703704	"LINC01475"	"AC026356.2"	"CPNE6"	"LUZP2"	"PHGR1"	"OLFM4"	"HSPB3"	"MATK"	"PADI3"	"AC079298.3"	"TRGV9"	"TRPC3"	"AC003986.3"	"HSPB3"	"OTX1"	"PRLHR"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B3GNT6"	"PCA3"	"ADAM21"	"B3GNT6"	0.44265350877193	"PCAT7"	"IL21.AS1"	"CHRNA4"	"SERPINA5"	"MMP10"	"CYP4F62P"	"LINGO2"	"HOXC6"	"OLFM4"	"PIP"	"SEMG1"	"GLYATL1P4"	"BEND4"	"AC069228.1"	"KRT4"	"C2orf72"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADAM21"	"COL10A1"	"PCSK6"	"OTX1"	0.427083333333333	"AC141930.1"	"CLU"	"MCF2"	"EPHA8"	"KRT4"	"LMX1B"	"FAM83C"	"PCSK6"	"AC110285.6"	"ONECUT2"	"MMP10"	"PTPRT"	"SMIM31"	"CHRNA4"	"LINC00992"	"CYP4F22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CHRNA4"	"ALDH1L1.AS2"	"MNX1"	"CHRNA4"	0.357142857142857	"DNAH5"	"CACNA1D"	"VGLL1"	"PTPRT"	"B3GNT6"	"AC105450.1"	"DUOX2"	"ARLNC1"	"HSPB3"	"GABRA3"	"NPPC"	"PTGS1"	"HS3ST6"	"MCF2"	"DUOXA2"	"FAM83C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PHGR1"	"SNCG"	"LUZP2"	"PHGR1"	0.343462050927944	"AL031123.2"	"SLIT1"	"OLFM4"	"MMP10"	"LUZP2"	"LINC01169"	"AC135803.1"	"ZIC5"	"OR51A9P"	"CYP11A1"	"CPNE6"	"COMP"	"CYP4F22"	"AC105450.1"	"SMKR1"	"HSPB3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GATA5"	"AC139783.1"	"B3GNT6"	"CYP11A1"	0.326086956521739	"NETO2"	"AL031123.3"	"MSLN"	"HOXC6"	"TDRD1"	"KIAA0087"	"PI16"	"CIDEC"	"CCKBR"	"TGM3"	"MNX1"	"SMTNL2"	"MMP10"	"PADI3"	"HPN"	"GATA5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LUZP2"	"EBF2"	"PHGR1"	"GATA5"	0.295765428616239	"KY"	"ONECUT2"	"TGM5"	"HPN"	"GATA5"	"KY"	"SMTNL2"	"SERTM1"	"SNCG"	"ASPA"	"ATP1A4"	"NXPH1"	"NPY6R"	"AL162424.1"	"RPL7P16"	"LINC00839"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AMACR"	"PROSER2.AS1"	"CYP11A1"	"LUZP2"	0.272003220399148	"AC008555.2"	"ASPA"	"ANXA13"	"SNCG"	"BMP5"	"CYP4F3"	"LY6D"	"CLCA2"	"OR51E2"	"AC139783.1"	"AC008555.2"	"OLIG1"	"LUZP2"	"ERG"	"EN2"	"OLFM4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EPHA8"	"TRGC1"	"EPHA8"	"AMACR"	0.257345085470085	"AMACR"	"PNMT"	"ADAM2"	"B3GNT6"	"GSTM1"	"DUOXA2"	"AP001610.3"	"AC012291.1"	"AP006748.1"	"TRGJP2"	"CYP11A1"	"SLIT1"	"AC135803.1"	"ATP1A4"	"UNC5A"	"PNMT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CCKBR"	"NETO2"	"CCKBR"	"GSTM1"	0.237938878283091	"AC139783.1"	"CGREF1"	"TUBB4A"	"BMP5"	"ADAM21"	"LINC01475"	"CCDC27"	"EBF2"	"AL162411.1"	"SFRP5"	"TUBB4A"	"AC069228.1"	"NPPC"	"DSG4"	"MYH6"	"DLX2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TDRD1"	"TRPC3"	"AMACR"	"EPHA8"	0.215047923124142	"PCSK6"	"AP006748.1"	"SYNGR4"	"TUBB4A"	"EPHA8"	"HSPB3"	"ALX4"	"AP002498.1"	"EVA1A"	"CCN5"	"CLU"	"LINC00839"	"CHRNA4"	"FFAR2"	"LY6D"	"PIP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ATP1A4"	"MCF2"	"GSTM1"	"CCKBR"	0.180786722929963	"PROSER2.AS1"	"SLC45A2"	"COMP"	"ZIC2"	"SIM2"	"TPO"	"PON3"	"AP000526.1"	"GAL"	"H19"	"MSLN"	"HSPA6"	"CXADRP2"	"MNX1.AS1"	"NXPH1"	"EMX2OS"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
