"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"daLFC"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"MCM10"	"CAMK2A"	"WT1"	"WT1"	0	"RERG"	"OGN"	"ASPM"	"SLC2A4"	"ZBTB16"	"MIR34C"	"PDE2A"	"PLN"	"PCP4"	"ASPM"	"SLITRK3"	"C3orf70"	"H1.4"	"MNX1"	"AL031429.2"	"FXYD1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ASPM"	"PITX1"	"SFRP4"	"SFRP4"	0	"OSR2"	"ASPA"	"PITX1"	"ZBTB16"	"RSPO3"	"DGKB"	"NDN"	"CSDC2"	"AC136628.3"	"SCARA5"	"LINC01016"	"WT1.AS"	"TRH"	"DES"	"DIO3"	"ASPA"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PITX1"	"LTBP4"	"RSPO1"	"RSPO1"	0	"C11orf96"	"PTGIS"	"MAOB"	"SIX1"	"ATP1B2"	"HTR1E"	"DIAPH3"	"MAOB"	"SERTM1"	"ADAMDEC1"	"TCEAL2"	"AC090498.1"	"PI16"	"HSPB1P1"	"FXYD1"	"AL355075.4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MAOB"	"KLF2"	"MYH11"	"MYH11"	0	"WT1"	"RERG"	"FGF10"	"RSPO3"	"SCN7A"	"HPSE2"	"AOX1"	"AQP5"	"OGN"	"ADRB3"	"SLC8A2"	"MYH11"	"MIR23B"	"H3C8"	"IGF2BP3"	"AC027449.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FGF10"	"RADX"	"TNFAIP8L3"	"TNFAIP8L3"	0	"ASPM"	"DPT"	"CAMK2A"	"SCN7A"	"SIX1"	"C11orf96"	"PRLHR"	"FGF10"	"TOP2A"	"WT1"	"PWWP3B"	"MNX1"	"ADRA1D"	"HOXB13"	"HSPB1P1"	"KIF18B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CAMK2A"	"CRHR1"	"SLC2A4"	"SLC2A4"	0	"CAVIN2"	"OSR2"	"WSCD2"	"ATP1B2"	"SFRP4"	"POTEF"	"RPL41P1"	"BCHE"	"WFIKKN2"	"TNFAIP8L3"	"PRLHR"	"PGM5.AS1"	"H2BC18"	"HAND2"	"SERTM2"	"AL139351.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"WSCD2"	"IGFBP6"	"ATP1B2"	"ATP1B2"	0	"ESPL1"	"MAMDC2"	"BIRC5"	"FOXA1"	"FRMD7"	"HAPLN1"	"NPAS4"	"RBFOX3"	"LTBP4"	"JPH4"	"ADAMTSL5"	"AQP5"	"NAP1L2"	"FHL1"	"AC053503.5"	"NCAPG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BIRC5"	"KCNMB2.AS1"	"MNX1"	"MNX1"	0	"CAMK2A"	"NDN"	"LTBP4"	"ADGRV1"	"TNXB"	"RAMP1"	"AP001107.5"	"ATP1B2"	"CAVIN2"	"H3C12"	"NEXN"	"MASP1"	"F10"	"RERGL"	"LINC02310"	"CLEC4M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LTBP4"	"WFIKKN2"	"ADGRV1"	"ADGRV1"	0	"RADX"	"DIO3"	"JPH4"	"MNX1"	"ADGRV1"	"AC016877.3"	"CCL23"	"ASPA"	"CNN1"	"HAPLN1"	"ATP1B2"	"E2F7"	"SFRP4"	"AC012603.1"	"RADX"	"PGAP4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"JPH4"	"OLFM1"	"TNXB"	"TNXB"	0	"MKI67"	"PGM5P4"	"MYBL2"	"FRMD7"	"MNX1"	"HAND2.AS1"	"FRMD7"	"AP001107.5"	"AP001107.5"	"AF001548.1"	"PEG3"	"FXYD1"	"NEXN"	"NECAB1"	"JPH4"	"OTX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MYBL2"	"PRAME"	"FRMD7"	"FRMD7"	0	"KNL1"	"LINC01197"	"SEL1L2"	"TNXB"	"FOXA1"	"MIR23B"	"LINGO2"	"KNL1"	"AC005180.2"	"AC005180.2"	"MFAP4"	"ATP1B2"	"PLP1"	"AJ011932.1"	"OTX1"	"FHL1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SEL1L2"	"ASPA"	"RRM2"	"RRM2"	0	"GPIHBP1"	"DEPDC1"	"MYL9"	"RRM2"	"KIF14"	"PTGFR"	"RIC3"	"MCM10"	"AC012653.2"	"HMGN2P15"	"SRPX"	"RSPO1"	"ADH1B"	"SEL1L2"	"PPIAP39"	"SPARCL1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MYL9"	"ESPL1"	"MUC5AC"	"MUC5AC"	0	"POLQ"	"KIF14"	"CHRDL1"	"KIF14"	"RRM2"	"MYOCD"	"OTX1"	"AP003071.4"	"SGCA"	"KCNB1"	"H3C8"	"PCP4"	"MRGPRF"	"NCAM1"	"AF001548.1"	"TTC6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CHRDL1"	"WT1"	"MELK"	"MELK"	0	"LINC01197"	"TOP2A"	"PAGE4"	"MELK"	"MELK"	"TTC6"	"GAS1"	"TPSB2"	"E2F7"	"HSPB3"	"H1.4"	"RRM2"	"TCEAL7"	"CD300LG"	"AC009159.3"	"KNL1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PAGE4"	"CCN5"	"KIF14"	"KIF14"	0	"DIRAS1"	"MKI67"	"SRPX"	"KIF18B"	"KIF18B"	"NDN"	"TOP2A"	"CPEB1"	"CRHR1"	"PDLIM3"	"RIC3"	"AC027449.1"	"CLEC3B"	"FGF14.AS2"	"CD300LG"	"NEXN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SRPX"	"LINC01016"	"KIF18B"	"KIF18B"	0	"RSPO1"	"IQGAP3"	"KLHL4"	"MUC5AC"	"CDC20"	"PKNOX2"	"AC016596.3"	"LINC01537"	"HPSE2"	"RDH10.AS1"	"SLC1A7"	"SCN7A"	"FRMD6.AS2"	"TFAP2A"	"HSD17B6"	"ESPL1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KLHL4"	"HLF"	"ELF5"	"ELF5"	0	"JPH4"	"SLITRK3"	"CORO2B"	"ELF5"	"HAND2"	"TMEM200B"	"AC012603.1"	"NECAB1"	"HAPLN1"	"H3C8"	"FHL1"	"SCN2B"	"SNAP25"	"AC136628.3"	"FXYD6"	"PRAME"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CORO2B"	"GSTM5"	"ZIC1"	"ZIC1"	0	"CRHR1"	"MAOB"	"CLEC4M"	"HAND2"	"ELF5"	"NCAPG"	"POTEF"	"FXYD1"	"JPH4"	"H2BC4"	"RRM2"	"TMEM196"	"PCP4"	"AOX1"	"DPT"	"MCM10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CLEC4M"	"AC087521.1"	"PLN"	"PLN"	0	"PHYHIP"	"NPAS4"	"SFRP4"	"CDC20"	"SPARCL1"	"JPH2"	"LGI4"	"H3C7"	"LGI3"	"MRGPRF"	"RAMP1"	"KLF17"	"PKNOX2"	"HLF"	"MAOB"	"MYBL2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SFRP4"	"RERG"	"HAND2"	"HAND2"	0	"TCEAL7"	"CCL14"	"MEOX2"	"PLN"	"PLN"	"H1.5"	"ADGRD1"	"HOXB13"	"FXYD6"	"TCEAL2"	"SIX1"	"FRMD7"	"PGM5P4"	"BIRC5"	"E2F7"	"KCNB1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
