"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"TPO"	"RELN"	"KCNQ3"	"ADCY8"	0.75	"METTL7B"	"DPT"	"WSCD2"	"FN1"	"LAMB3"	"ODAM"	"SLC5A5"	"CDH16"	"SEZ6L2"	"AP002358.1"	"RELN"	"KLK1"	"SLC22A31"	"LRRK2"	"TFF2"	"LRP4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DPP4"	"ABCC6P1"	"HMGA2"	"DCHS2"	0.730003636936488	"TNNT3"	"GPC3"	"CACNG4"	"DCHS2"	"DPP4.DT"	"TMPRSS11E"	"TMEM92"	"AC141930.1"	"SERTM1"	"DCHS2"	"KRT15"	"CSF2"	"ADH1B"	"ARMCX7P"	"METTL7B"	"KRT15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADCY8"	"SLC6A15"	"FN1"	"EPHB3"	0.722215330240295	"LINC01977"	"KCNA1"	"CEACAM6"	"NRXN1"	"LCN2"	"CHRNA4"	"AC046195.1"	"KLK11"	"KLK7"	"DPP4.DT"	"IRS4"	"WARS1P1"	"AL391845.2"	"RTL4"	"IRS4"	"METTL7B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC34A2"	"SEC14L3"	"ADCY8"	"EPHA10"	0.625916145833333	"GPC3"	"SCARA5"	"TMPRSS11E"	"GDF15"	"LRRK2.DT"	"SEMA3D"	"C6"	"FAM180B"	"CRLF2"	"B4GALNT2"	"PCDH11X"	"TBX22"	"SLC6A20"	"LINC02555"	"CDH16"	"GRHL3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GDF15"	"HAGLROS"	"NGEF"	"MUC21"	0.561385735294118	"COL13A1"	"HAGLROS"	"CPXM1"	"CSF2"	"RELN"	"SFTPA1"	"SYTL5"	"ST6GALNAC5"	"ADGRF2"	"LIPH"	"FGF10"	"GALNT5"	"LINGO2"	"RAG2"	"KCNQ3"	"LRRC52.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KLK2"	"COL13A1"	"GRM4"	"KCNQ3"	0.528630462962963	"DPT"	"LRP4"	"MISP"	"CRLF2"	"LINC02560"	"AC025419.1"	"AC011504.1"	"HS6ST3"	"PKHD1L1"	"OR4D10"	"EPHA5"	"OIT3"	"GJB4"	"FSTL4"	"MAPK4"	"KCNQ3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LRRK2"	"TNNT3"	"CUX2"	"GLI1"	0.526461988304094	"UNC5B.AS1"	"UNC5B.AS1"	"SEC14L3"	"LRRK2"	"LRFN5"	"NRXN1"	"LRRK2.DT"	"LPAR5"	"WSCD2"	"LCN2"	"EDN3"	"PLA2G12B"	"CARTPT"	"C2CD4A"	"PLEKHN1"	"WSCD2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KCNJ2"	"CNMD"	"DPP4"	"GDF15"	0.500256604575334	"CHRDL1"	"AP000997.4"	"PNPLA5"	"STAB2"	"EEF1A2"	"SEC14L3"	"ADCY8"	"NGEF"	"MYBPH"	"NOL4"	"NRXN1"	"MISP"	"PRSS2"	"PRSS1"	"IGSF1"	"CCL21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TFF3"	"UNC5B.AS1"	"KCNJ2"	"FOXA2"	0.475974025974026	"STAB2"	"IPCEF1"	"CHRNA4"	"KLK2"	"GDF15"	"PKHD1L1"	"IPCEF1"	"TRPC5"	"LRP1B"	"PAX1"	"GPC3"	"PDE4C"	"OIT3"	"CARTPT"	"ADIPOQ"	"TMPRSS6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CUX2"	"FSTL4"	"TMPRSS6"	"KLK2"	0.437123137554685	"CDH6"	"NRXN1"	"EEF1A2"	"SLC34A2"	"NRXN1"	"AC005082.1"	"LRG1"	"OIT3"	"ABCC6P1"	"TUSC3"	"LIPH"	"MUC21"	"UNC5B.AS1"	"TIMM8AP1"	"TFF1"	"KLK11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NGEF"	"NRAD1"	"LRG1"	"CUX2"	0.435657495511022	"SCARA5"	"AL355312.4"	"NOL4"	"METTL7B"	"VTCN1"	"LRRC52.AS1"	"CSF2"	"PCDH11X"	"C6"	"VTCN1"	"ST6GALNAC5"	"BNC1"	"GDF10"	"EPHA10"	"NGEF"	"KCNA1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FOXA2"	"GPC3"	"METTL7B"	"GRM4"	0.416666666666667	"KCNA1"	"PLEKHN1"	"CHRDL1"	"ADCY8"	"GRHL3"	"SLC5A5"	"TBX22"	"NRAD1"	"LINC02454"	"GPC3"	"GJB3"	"FOXJ1"	"MT1H"	"SRCIN1"	"DIO1"	"GPR142"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"STRA6"	"LIPI"	"FOXA2"	"LRRK2"	0.4125	"TFF3"	"FAM180B"	"PCSK1N"	"EPHB3"	"ZNF804B"	"B3GNT3"	"CWH43"	"KCNJ2"	"PLEKHN1"	"DCSTAMP"	"FOXA2"	"DCSTAMP"	"ST6GALNAC5"	"LRG1"	"FGF10"	"PAX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CDH16"	"KLK13"	"STAB2"	"CSF2"	0.415064102564103	"SLC6A15"	"STAB2"	"VGLL1"	"FSTL4"	"GOLT1A"	"AC011504.1"	"SLC5A8"	"ACTBL2"	"BMP8A"	"CDH6"	"TFF2"	"IGSF1"	"C2CD4A"	"COL13A1"	"LRRK2"	"PCDH11X"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GRM4"	"GABRB2"	"SEC14L3"	"NGEF"	0.401891860996799	"HCN4"	"TNNT3"	"PCDH11X"	"FOXA2"	"HS6ST3"	"CDH4"	"MAPK4"	"AC005906.2"	"GPR142"	"EDN3"	"AC005906.2"	"EEF1A2"	"AC007255.1"	"KLK6"	"NRXN1"	"TFF3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"C1QL1"	"TCEAL5"	"DCHS2"	"TFF3"	0.395089285714286	"SRCIN1"	"PTCHD4"	"OCA2"	"KCNJ2"	"DPT"	"KCTD16"	"B3GNT3"	"LINGO2"	"PRR15"	"ODAM"	"GDF10"	"SRCIN1"	"DCN"	"IRS4"	"KLK2"	"KLHDC8A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TFF1"	"LRRN4CL"	"GLI1"	"KCNJ2"	0.387931034482759	"CCL21"	"TFF3"	"EYA1"	"GRM4"	"PCDH11X"	"GJB3"	"NOL4"	"AC026116.1"	"PSG1"	"FOSB"	"LINC02471"	"TIMM8AP1"	"LINC01977"	"LRRK2.DT"	"KCNJ2"	"CDH3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
