"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"GABRD"	"CXCL14"	"GABRD"	"OXT"	0.76	"BMPER"	"NOX4"	"NOX4"	"GDF2"	"CYP2C8"	"TTK"	"SLC25A47"	"THBS4"	"HSD17B13"	"SKA1"	"CHRM2"	"GREM2"	"ANLN"	"MT1X"	"NUDT10"	"SLC6A19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CYP2C8"	"ASPG"	"UGT1A4"	"SSX1"	0.73875756870363	"ANGPTL6"	"TROAP"	"CYP26A1"	"HOXA13"	"HOXA13"	"LYVE1"	"CFP"	"ANGPTL6"	"B4GALNT2"	"NUDT10"	"STAB2"	"CLEC4M"	"SPP2"	"ADRA1A"	"CPLX2"	"FCN2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DBH"	"BMP10"	"CYP2C8"	"ANGPTL6"	0.713103105754677	"OIT3"	"NUF2"	"IGFALS"	"CLEC4G"	"C9"	"IGFALS"	"FAM99A"	"GABRD"	"GPR182"	"CCBE1"	"TIMD4"	"SMUG1P1"	"GLS2"	"SPP2"	"SPP2"	"HOXA13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ISX"	"COL9A1"	"OXT"	"RSPO3"	0.627220938046907	"EBF2"	"EBF2"	"MMP11"	"CYP26A1"	"AKR1D1"	"MFSD2A"	"SFRP5"	"AC112206.2"	"TICRR"	"AKR1D1"	"HAMP"	"SLC25A47"	"CPLX2"	"MOGAT2"	"C9"	"FCN3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"RSPO3"	"PTH1R"	"ANGPTL6"	"TTC36"	0.630952380952381	"PLGLA"	"MELK"	"SLC5A1"	"BCO2"	"PTH1R"	"ANLN"	"AKR1D1"	"MUC13"	"OXT"	"SFRP5"	"DCAF4L2"	"AC104809.1"	"NGFR"	"IGF2BP1"	"CDC25C"	"INS.IGF2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ITLN1"	"SCG2"	"BMP5"	"CYP2C8"	0.558893726085261	"PTH1R"	"OIT3"	"PVALB"	"TERT"	"HJURP"	"E2F8"	"UBE2C"	"MT1E"	"GCGR"	"LINC01093"	"FREM2"	"SSX1"	"TTK"	"BHMT"	"TTK"	"FAM163B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NAT2"	"SLC6A19"	"TTC36"	"UBE2C"	0.497348787971548	"GLS2"	"CFP"	"SLC10A1"	"STAB2"	"BMP5"	"UGT1A4"	"MT1X"	"ZIC5"	"IL1RL1"	"UBE2C"	"BHMT"	"MYBL2"	"NCAPG"	"OXT"	"GLYAT"	"APLN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC5A1"	"NEIL3"	"ISX"	"C9"	0.438837300653595	"COL15A1"	"CRHBP"	"MYBL2"	"ITLN1"	"UGT1A4"	"C3orf85"	"CENPF"	"CPLX2"	"PTH1R"	"SYT9"	"UGT1A4"	"AC112206.2"	"KCNN2"	"KIF20A"	"AC112206.2"	"CCBE1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BUB1"	"COL6A6"	"UBE2C"	"TAT"	0.434196213289527	"STAB2"	"PTH1R"	"OXT"	"OXT"	"ITLN1"	"DNASE1L3"	"TTK"	"FAM99A"	"NEK2"	"SKA3"	"CDKN2A"	"HOXA13"	"MT1H"	"CYP26A1"	"LINC01419"	"NOX4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HJURP"	"CLEC4M"	"C9"	"ISX"	0.411461807942475	"HAGLR"	"BMPER"	"F9"	"DBH"	"DBH"	"MT1M"	"FCN2"	"KIF18B"	"RDH16"	"TICRR"	"MARCO"	"SLITRK3"	"INS.IGF2"	"CDKN2A"	"FAM83F"	"CLEC4M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BMP5"	"VIPR1"	"TAT"	"CHST4"	0.379841931216931	"RSPO3"	"COLEC10"	"CLEC4M"	"TTC36"	"NAT2"	"MYO18B"	"CNDP1"	"TTK"	"CYP2E1"	"MAGEA6"	"CRHBP"	"ADRA1A"	"CYP1A1"	"TTK"	"CYP2A7"	"HHIP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SPP2"	"RSPO3"	"CHST4"	"ITLN1"	0.371608767676768	"NTF3"	"NTF3"	"HAMP"	"NAT2"	"OXT"	"PTH1R"	"KIF18B"	"C14orf180"	"COX7B2"	"SRD5A2"	"APLN"	"INS.IGF2"	"CLEC4M"	"SYT9"	"SRD5A2"	"PZP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TTC36"	"CTHRC1"	"ITLN1"	"BCO2"	0.359947127525253	"CTHRC1"	"MARCO"	"HOXA13"	"BMP5"	"BUB1"	"DEPDC1"	"TOP2A"	"MARCO"	"CDC20"	"MT1E"	"INMT"	"GPC3"	"HAMP"	"ZIC2"	"MT1F"	"IGF2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PCK1"	"AC010547.2"	"BCO2"	"BMP5"	0.357983394741019	"MMP11"	"BMP10"	"NEIL3"	"GYS2"	"GPC3"	"AC112206.2"	"MUC13"	"SYT9"	"UROC1"	"AMD1P4"	"NAT2"	"E2F8"	"GYS2"	"CDH19"	"CENPF"	"NTF3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CFTR"	"NTF3"	"HJURP"	"DBH"	0.343628619458233	"CENPF"	"NEIL3"	"NCAPG"	"NCAPG"	"CHST4"	"CYP2C8"	"MARCO"	"MT1F"	"APOF"	"BMP5"	"SLITRK3"	"CPLX2"	"DEPDC1"	"CHST4"	"PCK1"	"FAM83F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CTHRC1"	"NAT2"	"HOXA10"	"HJURP"	0.322463781456657	"FCN3"	"KIF20A"	"MDK"	"DEPDC1"	"BCO2"	"SLC5A1"	"ASPG"	"DPT"	"CLEC4M"	"PTH1R"	"AKR1D1"	"LINC01235"	"NDST3"	"NDST3"	"UGT1A4"	"CHRM2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLCO1B3"	"APLN"	"DBH"	"SLC5A1"	0.306279663363467	"KIF20A"	"SKA3"	"SLCO1B3"	"HAMP"	"CYP26A1"	"SLC25A47"	"CRHBP"	"DNER"	"CYP2A7"	"SLC10A1"	"HAND2.AS1"	"MELK"	"HHIP"	"LINC01419"	"OXT"	"MARCO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CYP2E1"	"STAB2"	"SLC5A1"	"IGF2"	0.304950308028838	"CXCL14"	"CDC20"	"GYS2"	"FAM163B"	"SLC5A1"	"AMD1P4"	"ESM1"	"DBH"	"PVALB"	"DPT"	"UROC1"	"FREM2"	"DNASE1L3"	"EBF2"	"TICRR"	"C14orf180"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FAM163B"	"CDKN2A"	"IGF2"	"HOXA10"	0.313243703804591	"HHIP"	"NEK2"	"BMP5"	"C9"	"IGF2"	"IGF2BP1"	"LINC00844"	"PBK"	"FAM163B"	"UROC1"	"SRD5A2"	"DNER"	"TOP2A"	"GLS2"	"CDKN2A"	"GLS2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HAMP"	"PVALB"	"NAT2"	"NAT2"	0.288832865169876	"MARCO"	"RSPO3"	"COL9A1"	"NEK2"	"GLYAT"	"PVALB"	"CKAP2L"	"CYP1A1"	"SLC7A11"	"INMT"	"COLEC10"	"NCAPG"	"GPC3"	"INMT"	"ADH1C"	"GPR182"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
