"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"AKR1D1"	"APOF"	"BUB1B"	"GABRD"	0.826446280991736	"GPM6A"	"CRHBP"	"PPP2R2C"	"BUB1"	"AKR1D1"	"SIX1"	"PPP2R2C"	"GREM2"	"FAM163B"	"DEPDC1"	"PCDH9.AS2"	"TOP2A"	"CYP1A2"	"CPLX2"	"CSMD1"	"APLN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADRA1A"	"IGFALS"	"TERT"	"SIX1"	0.805555555555556	"GDF2"	"CLEC1B"	"CDHR2"	"ITLN1"	"GRIN2B"	"COX7B2"	"LINC01235"	"BUB1"	"PRSS8"	"CYP2C8"	"FAM83F"	"IDO2"	"LINC02428"	"GPR182"	"MMP11"	"MT1E"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GABRB3"	"BMPER"	"GABRB3"	"GABRB3"	0.769230769230769	"CLEC4M"	"LINC01093"	"CA12"	"DBH"	"TTC36"	"ASPG"	"DCAF4L2"	"ADGRG7"	"HOXD9"	"NDST3"	"SYT9"	"TRIM71"	"FXYD1"	"FAM180A"	"CFHR3"	"MARCO"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CYP2C8"	"AC107396.1"	"GABRD"	"SFRP4"	0.731323925367751	"MARCO"	"CLEC4G"	"KCNN2"	"GRIN2B"	"CYP2C8"	"BCO2"	"PBK"	"PLGLA"	"LY6E.DT"	"ADGRG7"	"LINC01612"	"CYP1A2"	"GPM6A"	"STAB2"	"LINC01370"	"BMPER"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DBH"	"MT1H"	"GRIN2B"	"BUB1B"	0.712414117246701	"CCBE1"	"NEK2"	"CETP"	"RSPO3"	"PTH1R"	"NAT2"	"CYP3A4"	"MMP11"	"LINC01370"	"GRIN2B"	"FAM180A"	"FREM2"	"CDHR2"	"ISX"	"SYT9"	"EBF2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GABRD"	"CTHRC1"	"UGT1A4"	"OXT"	0.65	"NTF3"	"TROAP"	"BIRC5"	"GDF2"	"SIX1"	"CLEC1B"	"GABRD"	"SPP2"	"SIX1"	"CETP"	"COLEC10"	"ADGRG7"	"GABRD"	"FAM99B"	"CLEC4G"	"TROAP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ISX"	"BMP5"	"CYP2C8"	"MPPED1"	0.618665494731689	"OIT3"	"KIF2C"	"FETUB"	"CLEC4G"	"C9"	"APOF"	"INMT"	"GNG4"	"ESR1"	"DCAF4L2"	"MFSD2A"	"HAGLR"	"MT1X"	"TERT"	"PCDH9.AS2"	"DIRAS3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"RSPO3"	"C14orf180"	"MPPED1"	"RSPO3"	0.62037037037037	"HHIP"	"NUF2"	"KIF4A"	"TERT"	"HJURP"	"RSPO3"	"RSPO3"	"HAND2.AS1"	"MYBL2"	"HEPACAM"	"CLEC1B"	"CYP3A43"	"NMRAL2P"	"GABRB3"	"INS.IGF2"	"CENPF"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ITLN1"	"HAGLR"	"OXT"	"ANGPTL6"	0.554834978504946	"STAB2"	"ESM1"	"ESR1"	"CYP26A1"	"BMP5"	"TPPP2"	"GYS2"	"COL15A1"	"CHST4"	"ASS1P2"	"CLEC4G"	"HAO2"	"SKA1"	"ZG16"	"FOSB"	"TTC36"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NAT2"	"AC010547.2"	"ANGPTL6"	"CYP2C8"	0.497289473864456	"FCN3"	"EBF2"	"CYP26A1"	"STAB2"	"DBH"	"GCGR"	"SLITRK6"	"STC2"	"BIRC5"	"SLITRK3"	"THBS4"	"LYPD1"	"ANGPTL6"	"TGM3"	"GNG4"	"KIF18B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FETUB"	"NTF3"	"BMP5"	"UBE2C"	0.441102756892231	"CENPF"	"OIT3"	"IGFALS"	"BCO2"	"UGT1A4"	"UGT1A4"	"AC107396.1"	"IGF2BP1"	"FOSB"	"GNG4"	"CYP39A1"	"PCK1"	"FAM163B"	"TOP2A"	"RDH16"	"ZIC5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC5A1"	"CXCL14"	"TTC36"	"C9"	0.432734068181818	"CXCL14"	"NTF3"	"MMP11"	"TTC36"	"NAT2"	"APLN"	"PZP"	"OXT"	"CYP2C8"	"FCN2"	"KIF20A"	"CYP3A4"	"NAT2"	"CDKN2A"	"CCDC196"	"NEK2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BUB1"	"NUF2"	"ISX"	"TTC36"	0.42757405387901	"CRHBP"	"CFP"	"SLC5A1"	"FAM163B"	"HOXA13"	"CFHR3"	"DEPDC1"	"HEPACAM"	"CYP2C19"	"RSPO3"	"FOLH1B"	"RAB3B"	"SLC22A1"	"CCDC196"	"COL6A6"	"IGF2BP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HJURP"	"TCTEX1D1"	"UBE2C"	"TAT"	0.410374106788549	"LINC01093"	"STAB2"	"PVALB"	"OXT"	"ITLN1"	"FAM163B"	"HEPACAM"	"INMT"	"GSTA2"	"MT1F"	"SERTM2"	"GSTA2"	"RSPO3"	"CDHR2"	"CDKN2A"	"COLEC10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SPP2"	"AADAT"	"C9"	"ISX"	0.374395833434344	"NUF2"	"RSPO3"	"SLC10A1"	"TCTEX1D1"	"DLGAP5"	"IGF2"	"AVPR1A"	"PI15"	"TBX4"	"BMS1P8"	"INMT"	"CPLX2"	"AC112206.2"	"CD5L"	"C7"	"FAM163B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BMP5"	"GDF2"	"TAT"	"CHST4"	0.369923687423688	"FAM180A"	"NAT2"	"MYBL2"	"BMP5"	"BCO2"	"C9"	"MPPED1"	"NEIL3"	"COLEC10"	"AC104809.1"	"SLC7A11"	"LY6E.DT"	"CHRM2"	"SFN"	"NCAPG"	"KIF2C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TTC36"	"COL15A1"	"CHST4"	"ITLN1"	0.362493569958848	"AADAT"	"COL15A1"	"OXT"	"GYS2"	"CHST4"	"LINC01370"	"HOTTIP"	"LYPD2"	"KANK4"	"CFHR3"	"BIRC5"	"UGT1A4"	"ADGRG7"	"FOSB"	"FSTL4"	"PITX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PCK1"	"STAB2"	"ITLN1"	"BCO2"	0.357416247410947	"CDKN2A"	"BIRC5"	"CLEC4M"	"NAT2"	"BUB1"	"SRD5A2"	"TPPP2"	"KIF20A"	"CXCL14"	"CLEC4G"	"LINC01093"	"NXF3"	"MUC6"	"HOXD9"	"SLC22A10"	"DEPDC1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CFTR"	"NDST3"	"BCO2"	"DBH"	0.343145189014778	"KIF2C"	"KIF4A"	"HAMP"	"SIX1"	"GPC3"	"LYPD2"	"VIPR1"	"BIRC5"	"PVALB"	"GLYAT"	"LRCOL1"	"C7"	"CYP1A1"	"LYVE1"	"AC004160.1"	"ANGPTL6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
