"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"SFN"	"CCNB2"	"SFN"	"SFN"	0.855616904835156	"KLK11"	"CCN3"	"ELOB"	"RFC4"	"PTPRK"	"FAM50A"	"NCK2"	"ATP5PB"	"CKS1B"	"RALBP1"	"SNRPF"	"AKR1B1"	"SCNN1A"	"PDZD2"	"RNASEH2A"	NA	NA	NA	NA	NA	NA	NA	NA	"NUTF2"
"KIF5B"	"SERBP1"	"KIF5B"	"KIF5B"	0.8125	"CKS2"	"EPB41L4B"	"ANAPC5"	"SET"	"CCNB1"	"PSMB2"	"CD24"	"WDR83OS"	"NFE2L1"	"HEXB"	"SPRY1"	"CRYAB"	"MYL6B"	"PSMB2"	"PCBP1"	NA	NA	NA	NA	NA	NA	NA	NA	"TUFT1"
"RFC4"	"PPL"	"RFC4"	"RFC4"	0.811021405018343	"PPL"	"MELK"	"MLEC"	"PPP1R13L"	"ST3GAL6"	"UBL5"	"KIAA0232"	"DYNC1I2"	"NPM1"	"TMEM45A"	"CDV3"	"METTL9"	"HNRNPA0"	"FBXO7"	"CKS2"	NA	NA	NA	NA	NA	NA	NA	NA	"ID4"
"ST3GAL6"	"NUTF2"	"ST3GAL6"	"ST3GAL6"	0.809715480222265	"EPHB6"	"QPCT"	"LAPTM4A"	"FGFR3"	"SET"	"PDGFC"	"HEXB"	"EBAG9"	"CRELD2"	"STK26"	"CRCT1"	"PPL"	"USP22"	"SNCA"	"HSP90AB1"	NA	NA	NA	NA	NA	NA	NA	NA	"NDUFS3"
"CLIC1"	"NEBL"	"CLIC1"	"CLIC1"	0.785905277777778	"MELK"	"SPINT2"	"CD81"	"KRT1"	"CEBPA"	"NPC2"	"QPCT"	"NEBL"	"SNCA"	"ATP6V0E2"	"LYPD3"	"SRM"	"MICAL1"	"MYL6B"	"MTHFD1"	NA	NA	NA	NA	NA	NA	NA	NA	"ZNF395"
"PSMB4"	"MELK"	"PSMB4"	"PSMB4"	0.782488319210451	"PCLAF"	"CCNB2"	"YWHAQ"	"CCNB2"	"TUBA4A"	"ZWINT"	"PSMB4"	"HDAC1"	"LAMB2"	"CLIC1"	"ZWINT"	"INPP5F"	"PEA15"	"RAB14"	"APLP2"	NA	NA	NA	NA	NA	NA	NA	NA	"ETHE1"
"JAG2"	"TPP1"	"JAG2"	"JAG2"	0.777482156346406	"DDOST"	"TMEM30B"	"KDELR2"	"NPM1"	"USP7"	"ANK2"	"VAT1"	"KANK1"	"YY1"	"DSC3"	"NDUFS3"	"RNASEH2A"	"HIGD2A"	"BNIP3L"	"CDSN"	NA	NA	NA	NA	NA	NA	NA	NA	"MRC1"
"CCNB1"	"CRYAB"	"CCNB1"	"CCNB1"	0.769229455479633	"SNRPC"	"EIF4EBP1"	"NPC2"	"BCL11B"	"DSC3"	"ESRP1"	"TMA7"	"TMEM45A"	"ACOT7"	"PAK6"	"EMP3"	"MEA1"	"RBBP4"	"SRPX"	"TPD52L1"	NA	NA	NA	NA	NA	NA	NA	NA	"NSA2"
"YWHAQ"	"BCL11B"	"YWHAQ"	"YWHAQ"	0.767777949455837	"DSC3"	"HSD17B11"	"GOT2"	"SPINK5"	"PPL"	"NFE2L1"	"VPS72"	"RALBP1"	"PIGB"	"NISCH"	"TSPAN5"	"CACYBP"	"LRBA"	"HDAC1"	"PPIA"	NA	NA	NA	NA	NA	NA	NA	NA	"LAPTM4A"
"AKT1"	"NPC2"	"AKT1"	"AKT1"	0.7570275	"CA12"	"TUFT1"	"FKBP1A"	"AKR1B1"	"COLEC12"	"CCNB2"	"EPB41L4B"	"MLEC"	"FLG"	"PPL"	"NISCH"	"KRT10"	"PRKDC"	"BBOX1"	"PPL"	NA	NA	NA	NA	NA	NA	NA	NA	"MT1F"
"KLF6"	"PSMB2"	"KLF6"	"KLF6"	0.7548	"PPP1R13L"	"KIF2C"	"GPX1"	"USP7"	"AHCY"	"IFITM2"	"SLC3A2"	"CEBPA"	"LY6D"	"FLG"	"CD164"	"CCNB1"	"ZNF721"	"PDGFC"	"YPEL5"	NA	NA	NA	NA	NA	NA	NA	NA	"PSMA4"
"PSMB2"	"NDRG2"	"PSMB2"	"PSMB2"	0.745694444444444	"KRT1"	"CKS2"	"TPP1"	"TUBB"	"CCNB2"	"SNRPC"	"OAT"	"DIO2"	"CD81"	"BCL11B"	"NFE2L1"	"TAF7"	"ID2"	"KRT5"	"F3"	NA	NA	NA	NA	NA	NA	NA	NA	"PPP1R13L"
"USP7"	"CCT3"	"AHCY"	"USP7"	0.731423255668934	"KRT10"	"H2AX"	"NFE2L1"	"DSG1"	"SPINK5"	"PPP2R5E"	"KANK1"	"NGRN"	"TMEM45A"	"ODC1"	"CDSN"	"MYO6"	"IFITM2"	"PSMB4"	"ERH"	NA	NA	NA	NA	NA	NA	NA	NA	"EPB41L4B"
"CDKN1B"	"HDAC1"	"USP7"	"CDKN1B"	0.729434886100964	"TMEM30B"	"FEN1"	"PEA15"	"COLEC12"	"HSD17B11"	"HSPA2"	"LSM7"	"MYOF"	"TOP2B"	"EIF3K"	"POLR2H"	"EPHB6"	"METTL9"	"BCHE"	"INAVA"	NA	NA	NA	NA	NA	NA	NA	NA	"HSD17B11"
"NPM1"	"EPB41L4B"	"CDKN1B"	"NPM1"	0.72695	"NEBL"	"UBE2C"	"ODC1"	"CEBPA"	"KRT14"	"XRCC6"	"ELOVL4"	"TPI1"	"MELK"	"TMEM30B"	"UBE2E1"	"NSA2"	"AKT1"	"NCK2"	"TGM3"	NA	NA	NA	NA	NA	NA	NA	NA	"EPHB6"
"BCL11B"	"H2AX"	"NPM1"	"BCL11B"	0.721979242215115	"SPRY1"	"NEBL"	"XRCC6"	"SPINT1"	"DSG1"	"TPD52L1"	"CAB39"	"CCT8"	"CRYAB"	"NDUFS2"	"CYFIP2"	"ODC1"	"UCP2"	"NPM1"	"CKS1B"	NA	NA	NA	NA	NA	NA	NA	NA	"BCL11B"
"HSPA2"	"EMP3"	"BCL11B"	"HSPA2"	0.712942438076973	"COLEC12"	"BBOX1"	"TPI1"	"AKT1"	"RFC4"	"NEBL"	"CDC34"	"MTHFD1"	"DEFB1"	"IFITM2"	"ASS1"	"CKS2"	"UBL5"	"YME1L1"	"CLIC3"	NA	NA	NA	NA	NA	NA	NA	NA	"DAG1"
"CCT3"	"DAAM1"	"HSPA2"	"CCT3"	0.711805555555556	"INAVA"	"ACOT7"	"HYOU1"	"CPQ"	"CPQ"	"GJB3"	"PCLAF"	"GJB3"	"SNRPE"	"KRT5"	"GSTM1"	"BCHE"	"CD164"	"LAMTOR5"	"AKT1"	NA	NA	NA	NA	NA	NA	NA	NA	"DSG1"
"AHCY"	"EPHB6"	"CCT3"	"AHCY"	0.708431506620505	"FEN1"	"KRT10"	"SARAF"	"PTPRK"	"DEFB1"	"CAB39"	"CSTF3"	"PSMA4"	"PABPC3"	"ADIPOR1"	"BCL11B"	"ID2"	"ZNF750"	"NDUFS2"	"IMP3"	NA	NA	NA	NA	NA	NA	NA	NA	"SELENBP1"
"RBBP7"	"SPRY1"	"RBBP7"	"RBBP7"	0.706828651932925	"CHN1"	"EPHB6"	"S100A10"	"ODC1"	"IVL"	"PARK7"	"MAPK13"	"TUBB"	"DSC3"	"ARL2"	"RBM25"	"ZWINT"	"MEA1"	"S100A2"	"PRSS3"	NA	NA	NA	NA	NA	NA	NA	NA	"S100A6"
