"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"CEP55"	"KCNJ16"	"CFD"	"H4C5"	0.0184493914350452	"IL33"	"CDO1"	"BIRC5"	"ECRG4"	"H4C5"	"CENPF"	"CLPSL2"	"CDC25C"	"AKR1B15"	"KLK6"	"KIF20A"	"AC093895.2"	"MEOX2"	"MKI67"	"ADH1C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FAM83D"
"CCNB2"	"CD300LG"	"ECRG4"	"ID4"	0.0152087627380255	"GPIHBP1"	"GPIHBP1"	"KIF4A"	"MMRN1"	"RBP4"	"TCF21"	"AC134312.5"	"MELK"	"MAP1LC3C"	"MMP11"	"E2F7"	"HIF3A"	"ABCA9"	"CCL21"	"EDN3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MELK"
"MAMDC2"	"H1.12P"	"ADAM33"	"H4C2"	0.0153411811356926	"SLC24A2"	"COL11A1"	"CDC45"	"PTTG1"	"COL11A1"	"COL6A5"	"FAM107A"	"PLPP4"	"EPYC"	"CYP2B7P"	"KRT6B"	"H1.4"	"LPL"	"NUSAP1"	"RGN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"H4C2"
"AGR3"	"HAPLN1"	"PCOLCE2"	"LYVE1"	0.0141632445702863	"GPD1"	"CAV1"	"FMO2"	"MKI67"	"VEGFD"	"NEIL3"	"TWIST1"	"LINC01614"	"ADAMDEC1"	"PLPP4"	"MS4A8"	"KNL1"	"SALL4"	"LINC02544"	"SKA3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"COMP"
"KIF20A"	"FXYD1"	"LYVE1"	"TOP2A"	0.0129705633518729	"FXYD1"	"BTNL9"	"MMP11"	"KIF4A"	"TOP2A"	"AC044784.1"	"MCEMP1"	"FOXI1"	"LINC01614"	"RP1"	"VEGFD"	"CENPF"	"AC093895.2"	"KLK6"	"SVEP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LINC01561"
"CHRDL1"	"LINC01705"	"HJURP"	"VEGFD"	0.0120527510164768	"POLQ"	"MEOX2"	"CENPM"	"G0S2"	"FABP4"	"GNG13"	"PITX1"	"SRGAP3.AS2"	"TUBB3"	"KIF20A"	"ADRA1A"	"FOXJ1"	"AC104984.2"	"KIF18B"	"KLK6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"COL6A5"
"CENPF"	"NEIL3"	"FABP4"	"RBP4"	0.0120720689329467	"NUSAP1"	"IL33"	"SALL4"	"OR2B6"	"H4C2"	"SCN2B"	"CARMN"	"SPC24"	"IBSP"	"LPL"	"NUF2"	"LINC01705"	"TWIST1"	"CXCL2"	"MYH11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"EXO1"
"CD300LG"	"RN7SL4P"	"CHRDL1"	"PTTG1"	0.0110769230769231	"TMEM132C"	"FMO2"	"FAM83D"	"FABP4"	"MMRN1"	"RAD54L"	"CLEC3B"	"RGN"	"PPEF1"	"ASPA"	"TMEM132C"	"CKAP2L"	"MKI67"	"MS4A8"	"AP001528.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PBOV1"
"DTL"	"AC093895.2"	"LPL"	"ABCA8"	0.0112450755096925	"CHRDL1"	"CKAP2L"	"CHRDL1"	"RRM2"	"RRM2"	"SGO1"	"DLGAP5"	"HSD17B13"	"CAV1"	"MYH11"	"FXYD1"	"CENPM"	"SRGAP3.AS2"	"AC044784.1"	"KRT16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KRT16"
"HMMR"	"RBP4"	"HMMR"	"COMP"	0.0110611078549608	"FMO2"	"KIF4A"	"RP1"	"NEK2"	"FMO2"	"MKI67"	"EXO1"	"CNTNAP2"	"SRGAP3.AS2"	"GPD1"	"CXCL2"	"CCL21"	"HIF3A"	"MS4A15"	"AC093895.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC134312.5"
"BTNL9"	"HLF"	"CAVIN2"	"FABP4"	0.0105123139483582	"FABP4"	"ACKR1"	"TNNT1"	"IQGAP3"	"PTTG1"	"ANLN"	"LEPR"	"IGSF10"	"AC092801.1"	"PTTG1"	"NPR1"	"SGO1"	"PCOLCE2"	"OSR1"	"CNTNAP2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LINC02544"
